date,frcc,tocc,trdval,finval
20030331,GR,IT,-984108492.0,-984108492.0
20030331,BE,SK,42199005.0,42199005.0
20030331,ES,IE,-527639629.0,-527639629.0
20030331,JP,MX,362945092.0,362945092.0
20030331,CA,PL,-30498829.0,-30498829.0
20030331,NL,GR,504319087.0,504319087.0
20030331,FI,PL,144593601.0,144593601.0
20030331,ES,CL,-33845557.0,-33845557.0
20030331,IE,ES,431664973.0,431664973.0
20030331,PT,CZ,-18365592.0,-18365592.0
20030331,LU,AT,14815491.0,14815491.0
20030331,DE,CL,17289807.0,17289807.0
20030331,US,NL,2135300000.0,2135300000.0
20030331,CH,SE,-62242955.0,-62242955.0
20030331,KR,CZ,2671919.0,2671919.0
20030331,GR,CZ,-33890316.0,-33890316.0
20030331,KR,AU,-839468821.0,-839468821.0
20030331,NO,IT,249798520.0,249798520.0
20030331,NL,HU,152687942.0,152687942.0
20030331,US,LU,-8400000.0,-8400000.0
20030331,DK,US,527311397.0,527311397.0
20030331,AU,CA,-19733795.0,-19733795.0
20030331,FI,CL,62423037.0,62423037.0
20030331,AU,ES,-83298949.0,-83298949.0
20030331,JP,IL,3186596.0,3186596.0
20030331,AT,GB,575064053.0,575064053.0
20030331,AT,SK,-202423573.0,-202423573.0
20030331,GR,FR,-643154476.0,-643154476.0
20030331,DK,CL,-7493961.0,-7493961.0
20030331,GB,BE,-496056659.0,-496056659.0
20030331,GR,DE,-919339270.0,-919339270.0
20030331,BE,GB,1401550067.0,1401550067.0
20030331,AU,NL,13439884.0,13439884.0
20030331,MX,ES,-162039520.0,-162039520.0
20030331,SE,MX,144304622.0,144304622.0
20030331,IT,DK,45723478.0,45723478.0
20030331,US,ES,-244800000.0,-244800000.0
20030331,NL,BE,3008215491.0,3008215491.0
20030331,ES,LV,11527534.0,11527534.0
20030331,LU,GB,171118225.0,171118225.0
20030331,BE,AU,166192906.0,166192906.0
20030331,US,DE,-8920900000.0,-8920900000.0
20030331,MX,NL,84209760.0,84209760.0
20030331,DK,MX,19981604.0,19981604.0
20030331,GB,AU,-388653504.0,-388653504.0
20030331,SE,BE,388060388.0,388060388.0
20030331,CL,KR,115588420.0,115588420.0
20030331,DE,TR,227390995.0,227390995.0
20030331,MX,JP,-1550915540.0,-1550915540.0
20030331,NO,PL,-29787476.0,-29787476.0
20030331,FR,TR,113341269.0,113341269.0
20030331,AT,PL,112276240.0,112276240.0
20030331,CA,SK,-6103208.0,-6103208.0
20030331,DE,HU,-85506266.0,-85506266.0
20030331,DE,MX,1032635849.0,1032635849.0
20030331,IE,JP,148904230.0,148904230.0
20030331,FR,IE,-585380379.0,-585380379.0
20030331,JP,NO,-185462072.0,-185462072.0
20030331,ES,DK,-130350914.0,-130350914.0
20030331,BE,JP,-1312212904.0,-1312212904.0
20030331,PT,IT,-348622851.0,-348622851.0
20030331,IT,AU,172452874.0,172452874.0
20030331,DE,IT,4230856569.0,4230856569.0
20030331,DK,LU,-9880458.0,-9880458.0
20030331,GB,LU,-141132401.0,-141132401.0
20030331,KR,NO,6782521.0,6782521.0
20030331,KR,BE,79761797.0,79761797.0
20030331,NO,DE,973919873.0,973919873.0
20030331,CH,BE,-321288441.0,-321288441.0
20030331,DK,IE,57123218.0,57123218.0
20030331,SE,AU,228415774.0,228415774.0
20030331,NL,MX,-126471.0,-126471.0
20030331,BE,CZ,111334697.0,111334697.0
20030331,CA,MX,-1901802562.0,-1901802562.0
20030331,CL,GB,135310809.0,135310809.0
20030331,CH,GB,128008130.0,128008130.0
20030331,IT,HU,240654177.0,240654177.0
20030331,GR,AT,-104214110.0,-104214110.0
20030331,TR,PT,41012376.0,41012376.0
20030331,ES,GB,550748590.0,550748590.0
20030331,FI,SK,1821228.0,1821228.0
20030331,AU,EE,-296195.0,-296195.0
20030331,GB,SK,-7588907.0,-7588907.0
20030331,AT,LV,14302944.0,14302944.0
20030331,GR,NL,-472017135.0,-472017135.0
20030331,JP,SI,16445990.0,16445990.0
20030331,NL,CL,-129790448.0,-129790448.0
20030331,GR,JP,-561405690.0,-561405690.0
20030331,DE,GR,911506620.0,911506620.0
20030331,GR,SE,-119522463.0,-119522463.0
20030331,IE,NL,384435782.0,384435782.0
20030331,IT,TR,256938872.0,256938872.0
20030331,JP,IT,-82721718.0,-82721718.0
20030331,IT,US,2888003168.0,2888003168.0
20030331,IT,SI,144883999.0,144883999.0
20030331,NL,DE,7161703057.0,7161703057.0
20030331,GB,SE,-284103753.0,-284103753.0
20030331,CL,NO,-3450726.0,-3450726.0
20030331,FR,MX,255398453.0,255398453.0
20030331,FR,DK,-108028421.0,-108028421.0
20030331,FR,KR,99867706.0,99867706.0
20030331,LU,EE,787243.0,787243.0
20030331,SE,NO,113151266.0,113151266.0
20030331,DE,AT,3195432541.0,3195432541.0
20030331,IE,FI,1153458.0,1153458.0
20030331,MX,IT,-632316160.0,-632316160.0
20030331,AT,PT,74830799.0,74830799.0
20030331,FR,US,1064940703.0,1064940703.0
20030331,NL,AU,-13994830.0,-13994830.0
20030331,GR,DK,-79168555.0,-79168555.0
20030331,FR,AT,-106867940.0,-106867940.0
20030331,KR,CH,-253142543.0,-253142543.0
20030331,CH,CL,18675194.0,18675194.0
20030331,TR,FR,-160595542.0,-160595542.0
20030331,TR,CL,-30330058.0,-30330058.0
20030331,IE,AU,140050482.0,140050482.0
20030331,NL,KR,-334239437.0,-334239437.0
20030331,TR,SI,7464545.0,7464545.0
20030331,NO,PT,113354280.0,113354280.0
20030331,TR,DE,75495879.0,75495879.0
20030331,CH,DK,-19486305.0,-19486305.0
20030331,SE,FI,304778108.0,304778108.0
20030331,CA,FI,-74582339.0,-74582339.0
20030331,PT,FI,-29345406.0,-29345406.0
20030331,FR,IL,82541315.0,82541315.0
20030331,FR,LV,11773761.0,11773761.0
20030331,JP,FR,32306009.0,32306009.0
20030331,NO,MX,-2874974.0,-2874974.0
20030331,NO,AU,30605530.0,30605530.0
20030331,AT,NL,-521472063.0,-521472063.0
20030331,CA,AU,-24325651.0,-24325651.0
20030331,IT,CH,237251614.0,237251614.0
20030331,FR,IT,405980834.0,405980834.0
20030331,AU,GR,-14195528.0,-14195528.0
20030331,GB,HU,-128446024.0,-128446024.0
20030331,DE,GB,6574736360.0,6574736360.0
20030331,DK,PL,-48743997.0,-48743997.0
20030331,JP,CA,141458834.0,141458834.0
20030331,AT,US,465399787.0,465399787.0
20030331,GR,FI,-119269550.0,-119269550.0
20030331,LU,HU,7464390.0,7464390.0
20030331,DK,CH,43297466.0,43297466.0
20030331,NO,LU,-291840.0,-291840.0
20030331,SE,CZ,2159519.0,2159519.0
20030331,AT,CZ,-79011154.0,-79011154.0
20030331,AT,CH,-209017618.0,-209017618.0
20030331,IT,ES,1702572946.0,1702572946.0
20030331,PT,JP,-161527916.0,-161527916.0
20030331,IT,DE,-2543050286.0,-2543050286.0
20030331,CL,ES,16146425.0,16146425.0
20030331,NL,PL,252463351.0,252463351.0
20030331,US,SE,-1626700000.0,-1626700000.0
20030331,DE,ES,4161672846.0,4161672846.0
20030331,CH,FI,-22669120.0,-22669120.0
20030331,LU,BE,-876966445.0,-876966445.0
20030331,GB,US,-780217748.0,-780217748.0
20030331,FI,NO,39049763.0,39049763.0
20030331,PT,LU,-16537312.0,-16537312.0
